Vintage,Analysis.Date,Analysis.Time,Tank ID,Anthocyanins..mg.L.Malv.EQ.,Tannins..mg.L.CE.,Total.Iron.Reactive.Phenolics..mg.L.CE.
2019,9-Nov,10:16,1,553.9,1395.1,2827.6
2019,9-Nov,10:19,21,1136.4,1307.4,2946.7
2019,9-Nov,10:22,56,905,835.1,2176.7
2019,9-Nov,10:24,43,965.3,1007,2408.5
2019,9-Nov,10:27,7,1057,1169.2,2653.5
2019,9-Nov,10:16,78,553.9,1395.1,2827.6
2019,9-Nov,10:19,95,1136.4,1307.4,2946.7
2019,9-Nov,10:22,23,905,835.1,2176.7
2019,9-Nov,10:24,11,965.3,1007,2408.5
2019,9-Nov,10:27,14,1057,1169.2,2653.5
2019,9-Nov,10:16,45,553.9,1395.1,2827.6
2019,9-Nov,10:19,61,1136.4,1307.4,2946.7
2019,9-Nov,10:22,32,905,835.1,2176.7
2019,9-Nov,10:24,88,965.3,1007,2408.5
2019,9-Nov,10:27,89,1057,1169.2,2653.5
2019,9-Nov,10:16,64,553.9,1395.1,2827.6
2019,9-Nov,10:19,33,1136.4,1307.4,2946.7
2019,9-Nov,10:22,92,905,835.1,2176.7
2019,9-Nov,10:24,27,965.3,1007,2408.5
2019,9-Nov,10:27,44,1057,1169.2,2653.5
2019,9-Nov,10:16,3,553.9,1395.1,2827.6
2019,9-Nov,10:19,5,1136.4,1307.4,2946.7
2019,9-Nov,10:22,57,905,835.1,2176.7
2019,9-Nov,10:24,80,965.3,1007,2408.5
2019,9-Nov,10:27,48,1057,1169.2,2653.5
2019,9-Nov,10:16,74,553.9,1395.1,2827.6
2019,9-Nov,10:19,22,1136.4,1307.4,2946.7
2019,9-Nov,10:22,19,905,835.1,2176.7
2019,9-Nov,10:24,14,965.3,1007,2408.5
2019,9-Nov,10:27,62,1057,1169.2,2653.5
