Vintage,Analysis.Date,Analysis.Time,Tank.ID,Anthocyanins..mg.L.Malv.EQ.,Tannins..mg.L.CE.,Total.Iron.Reactive.Phenolics..mg.L.CE.
2020,2-Feb,15:22,MSY7,503.4,238.4,828.7
2020,2-Feb,15:23,CABM24,556.4,374.7,1104.8
2020,2-Feb,15:34,CABM3,482.2,328.2,1028.2
2020,2-Feb,15:35,CABM14,437.3,406.9,1120.5
2020,2-Feb,15:45,CABM5,275.5,308.9,1025.3
2020,2-Feb,15:54,CABM8,502.3,401.9,1148.4
2020,19-Apr,16:05,SYCABM32,271.4,383,1151.9
2020,19-Apr,16:12,SYCABM28,485.6,334.8,1022.9
2020,19-Apr,16:56,SYCABM17,464.8,298.9,959.7
2020,19-Apr,17:30,SYCABM6,251.3,318.9,1016.1
2020,2-Feb,15:22,MSY7,503.4,238.4,828.7
2020,2-Feb,15:23,CABM24,556.4,374.7,1104.8
2020,2-Feb,15:34,CABM3,482.2,328.2,1028.2
2020,2-Feb,15:35,CABM14,437.3,406.9,1120.5
2020,2-Feb,15:45,CABM5,275.5,308.9,1025.3
2020,2-Feb,15:54,CABM8,502.3,401.9,1148.4
2020,19-Apr,16:05,SYCABM32,271.4,383,1151.9
2020,19-Apr,16:12,SYCABM28,485.6,334.8,1022.9
2020,19-Apr,16:56,SYCABM17,464.8,298.9,959.7
2020,19-Apr,17:30,SYCABM6,251.3,318.9,1016.1
2020,2-Feb,15:22,MSY7,503.4,238.4,828.7
2020,2-Feb,15:23,CABM24,556.4,374.7,1104.8
2020,2-Feb,15:34,CABM3,482.2,328.2,1028.2
2020,2-Feb,15:35,CABM14,437.3,406.9,1120.5
2020,2-Feb,15:45,CABM5,275.5,308.9,1025.3
2020,2-Feb,15:54,CABM8,502.3,401.9,1148.4
2020,19-Apr,16:05,SYCABM32,271.4,383,1151.9
2020,19-Apr,16:12,SYCABM28,485.6,334.8,1022.9
2020,19-Apr,16:56,SYCABM17,464.8,298.9,959.7
2020,19-Apr,17:30,SYCABM6,251.3,318.9,1016.1
2020,2-Feb,15:22,MSY7,503.4,238.4,828.7
2020,2-Feb,15:23,CABM24,556.4,374.7,1104.8
2020,2-Feb,15:34,CABM3,482.2,328.2,1028.2
2020,2-Feb,15:35,CABM14,437.3,406.9,1120.5
2020,2-Feb,15:45,CABM5,275.5,308.9,1025.3
2020,2-Feb,15:54,CABM8,502.3,401.9,1148.4
2020,19-Apr,16:05,SYCABM32,271.4,383,1151.9
2020,19-Apr,16:12,SYCABM28,485.6,334.8,1022.9
2020,19-Apr,16:56,SYCABM17,464.8,298.9,959.7
2020,19-Apr,17:30,SYCABM6,251.3,318.9,1016.1
2020,2-Feb,15:22,MSY7,503.4,238.4,828.7
2020,2-Feb,15:23,CABM24,556.4,374.7,1104.8
2020,2-Feb,15:34,CABM3,482.2,328.2,1028.2
2020,2-Feb,15:35,CABM14,437.3,406.9,1120.5
2020,2-Feb,15:45,CABM5,275.5,308.9,1025.3
2020,2-Feb,15:54,CABM8,502.3,401.9,1148.4
2020,19-Apr,16:05,SYCABM32,271.4,383,1151.9
