"Vintage","Analysis.Date","Analysis.Time","Tank.ID","Anthocyanins..mg.L.Malv.EQ.","Tannins..mg.L.CE.","Total.Iron.Reactive.Phenolics..mg.L.CE."
"2021","26-May","12:44",24,"584.8","885.7","2227.1"
"2021","Aug 30","16:46",24,"584.8","773.8","1999.3"
"2021","Aug 30","16:46",34,"561.7","654.9","1700.9"
"2021","Aug 30","16:46",13,"596","679.4","2028.4"
"2021","Aug 30","16:46",19,"498.3","697.3","1770.3"
"2021","Aug 30","16:46",7,"542.5","685.4","1793.1"
"2021","Aug 30","16:46",5,"534.9","1130.9","2848.2"
"2021","Aug 30","16:46",3,"551.6","997.5","2582.8"
"2021","Aug 30","16:46",8,"500.7","1134.3","2824.4"
"2021","Aug 30","16:46",56,"503.2","1087.3","2701.4"
"2021","Aug 30","16:46",35,"547.3","1104.2","2951"
"2021","Aug 30","16:46",65,"586.1","1172.8","2526.4"
"2021","Aug 30","16:46",26,"494.3","1178.4","2865.5"
"2021","Aug 30","16:46",24,"554.3","1162.4","2698.7"
"2021","Aug 30","16:46",75,"571.5","1288.3","2800"
"2021","Aug 30","16:46",97,"545.1","452.2","1449.3"
"2021","Aug 30","16:46",12,"634.2","862.6","1825.6"
"2021","Aug 30","16:46",1,"659.1","1128.4","2325.3"
"2021","Aug 30","16:46",2,"616.3","1003.2","1989.6"
"2021","Aug 30","16:46",3,"622.1","824.4","1591.5"
"2021","Aug 30","16:46",43,"685.4","911.6","2042.3"
"2021","Aug 30","16:46",54,"588.8","994.1","1869.1"
"2021","Aug 30","16:46",46,"637","954.4","1806.8"
"2021","Aug 30","16:46",75,"662","552.4","1029.3"
"2021","Aug 30","16:46",35,"689.8","644.2","1334.1"
"2021","Aug 30","16:46",23,"823.7","641.8","1286.3"
"2021","Aug 30","16:46",88,"361.4","100","584.6"
"2021","Aug 30","16:46",66,"301.5","79.3","612"
"2021","Aug 30","16:46",44,"291.7","149.2","746.4"
"2021","Aug 30","16:46",33,"486.2","266.7","833.4"
"2021","Aug 30","16:46",22,"281.5","385.2","1090.4"
"2021","Aug 30","16:46",11,"279.4","729.5","1711.1"
"2021","Aug 30","16:46",13,"290.3","479.9","1233.5"
"2021","Aug 30","16:46",18,"469.5","638.3","1499.4"
"2021","Aug 30","16:46",86,"285.5","532.4","1376.3"
