"Vintage","Analysis Date","Analysis Time","Tank ID","Anthocyanins (mg/L Malv EQ)","Tannins (mg/L CE)","Total Iron Reactive Phenolics (mg/L CE)"
"2024","Oct 31","13:33",24," 584.8"," 773.8","1999.3"
"2024","Oct 31","13:33",34," 561.7"," 654.9","1700.9"
"2024","Oct 31","13:33",13," 596.0"," 679.4","2028.4"
"2024","Oct 31","13:33",19," 498.3"," 697.3","1770.3"
"2024","Oct 31","13:33",7," 542.5"," 685.4","1793.1"
"2024","Oct 31","13:33",5," 534.9","1130.9","2848.2"
"2024","Oct 31","13:33",3," 551.6"," 997.5","2582.8"
"2024","Oct 31","13:33",8," 500.7","1134.3","2824.4"
"2024","Oct 31","13:33",56," 503.2","1087.3","2701.4"
"2024","Oct 31","13:33",35," 547.3","1104.2","2951.0"
"2024","Oct 31","13:33",65," 586.1","1172.8","2526.4"
"2024","Oct 31","13:33",26," 494.3","1178.4","2865.5"
"2024","Oct 31","13:33",24," 554.3","1162.4","2698.7"
"2024","Oct 31","13:33",75," 571.5","1288.3","2800.0"
"2024","Oct 31","13:33",97," 545.1"," 452.2","1449.3"
"2024","Oct 31","13:33",12," 634.2"," 862.6","1825.6"
"2024","Oct 31","13:33",1," 659.1","1128.4","2325.3"
"2024","Oct 31","13:33",2," 616.3","1003.2","1989.6"
"2024","Oct 31","13:33",3," 622.1"," 824.4","1591.5"
"2024","Oct 31","13:33",43," 685.4"," 911.6","2042.3"
"2024","Oct 31","13:33",54," 588.8"," 994.1","1869.1"
"2024","Oct 31","13:33",46," 637.0"," 954.4","1806.8"
"2024","Oct 31","13:33",75," 662.0"," 552.4","1029.3"
"2024","Oct 31","13:33",35," 689.8"," 644.2","1334.1"
"2024","Oct 31","13:33",23," 823.7"," 641.8","1286.3"
"2024","Oct 31","13:33",88," 361.4"," 100.0"," 584.6"
"2024","Oct 31","13:33",66," 301.5","  79.3"," 612.0"
"2024","Oct 31","13:33",44," 291.7"," 149.2"," 746.4"
"2024","Oct 31","13:33",33," 486.2"," 266.7"," 833.4"
"2024","Oct 31","13:33",22," 281.5"," 385.2","1090.4"
"2024","Oct 31","13:33",11," 279.4"," 729.5","1711.1"
"2024","Oct 31","13:33",13," 290.3"," 479.9","1233.5"
"2024","Oct 31","13:33",18," 469.5"," 638.3","1499.4"
"2024","Oct 31","13:33",86," 285.5"," 532.4","1376.3"
"2024","Oct 31","13:33",76," 514.3"," 613.9","1446.1"
"2024","Oct 31","13:33",53," 503.4"," 201.2"," 766.6"
"2024","Oct 31","13:33",82," 556.4"," 325.8","1029.6"
"2024","Oct 31","13:33",87," 482.2"," 279.1"," 944.0"
"2024","Oct 31","13:33",24," 437.3"," 346.0","1015.2"
"2024","Oct 31","13:33",34," 275.5"," 246.0"," 909.4"
"2024","Oct 31","13:33",13," 502.3"," 340.6","1060.3"
"2024","Oct 31","13:33",19," 271.4"," 321.3","1044.8"
"2024","Oct 31","13:33",7," 485.6"," 285.5"," 937.0"
"2024","Oct 31","13:33",5," 464.8"," 251.7"," 878.3"
"2024","Oct 31","13:33",3," 251.3"," 258.9"," 901.9"
"2024","Oct 31","13:33",8," 303.4"," 265.1"," 986.4"
"2024","Oct 31","13:33",56," 593.7"," 199.6"," 791.8"
"2024","Oct 31","13:33",35," 486.7"," 168.5"," 706.3"
"2024","Oct 31","13:33",65," 285.0"," 331.3","1086.1"
"2024","Oct 31","13:33",26," 259.6"," 268.8"," 934.8"
"2024","Oct 31","13:33",24," 509.2"," 229.7"," 818.8"
"2024","Oct 31","13:33",75," 501.1"," 243.7"," 854.4"
"2024","Oct 31","13:33",97," 512.9"," 156.4"," 663.6"
